Artikel,Von_Fassung,Zu_Fassung,Änderung_Similarity,Änderung_Länge,Änderungsmaß,Textdifferenz
1,1,2,1.0,0.0,,
1,2,3,0.20830750154990701,28.0,,
1,3,4,0.062385321100917435,561.0,,
2,1,2,1.0,0.0,,
2,2,3,0.11795543905635648,325.0,,
2,3,4,0.07944389275074479,569.0,,
3,1,2,1.0,0.0,,
3,2,3,0.17185322805387832,193.0,,
3,3,4,0.07586206896551724,70.0,,
4,1,2,1.0,0.0,,
4,2,3,0.26182316655243315,31.0,,
4,3,4,0.2235371466140697,31.0,,
5,1,2,1.0,0.0,,
5,2,3,0.33464052287581697,303.0,,
5,3,4,0.2624254473161034,20.0,,
6,1,2,1.0,0.0,,
6,2,3,0.44912078408763334,27.0,,
6,3,4,0.13306681896059394,6.0,,
7,1,2,1.0,0.0,,
7,2,3,0.9570200573065902,1.0,,
7,3,4,0.9344729344729344,3.0,,
8,1,2,1.0,0.0,,
8,2,3,0.13025210084033614,488.0,,
8,3,4,0.14035087719298245,8.0,,
9,1,2,1.0,0.0,,
9,2,3,0.3914780292942743,31.0,,
9,3,4,0.3203026481715006,11.0,,
10,1,2,1.0,0.0,,
10,2,3,0.3405088062622309,196.0,,
10,3,4,0.4782608695652174,2.0,,
11,1,2,1.0,0.0,,
11,2,3,0.34131205673758863,228.0,,
11,3,4,0.11854838709677419,4.0,,
12,1,2,1.0,0.0,,
12,2,3,0.0858433734939759,912.0,,
12,3,4,0.5787234042553191,54.0,,
13,1,2,0.9808917197452229,1.0,,
13,2,3,0.6634146341463415,49.0,,
13,3,4,0.96,4.0,,
14,1,2,0.09660107334525939,24.0,,
14,2,3,0.08624229979466119,120.0,,
14,3,4,0.12790697674418605,6.0,,
15,1,2,0.9246753246753247,1.0,,
15,2,3,0.9583333333333334,2.0,,
15,3,4,0.8337874659400545,15.0,,
16,1,2,0.07975460122699386,52.0,,
16,2,3,0.10112359550561797,6.0,,
16,3,4,0.06698564593301436,14.0,,
17,1,2,0.3938931297709924,7.0,,
17,2,3,0.0425531914893617,4.0,,
17,3,4,0.5606060606060606,6.0,,
18,1,2,0.06683804627249357,634.0,,
18,2,3,0.04645048203330412,92.0,,
18,3,4,0.07493540051679587,52.0,,
19,1,2,0.06855277475516866,398.0,,
19,2,3,0.3367759317467445,9.0,,
19,3,4,0.42981252857796065,31.0,,
20,1,2,0.2545668827342369,17.0,,
20,2,3,0.04764671702498547,41.0,,
20,3,4,0.36292134831460676,18.0,,
21,1,2,0.2754491017964072,6.0,,
21,2,3,0.08875739644970414,22.0,,
21,3,4,0.14793328498912256,5.0,,
22,1,2,0.07058823529411765,57.0,,
22,2,3,0.17346053772766695,9.0,,
22,3,4,0.5025996533795494,10.0,,
23,1,2,0.25,26.0,,
23,2,3,0.3207920792079208,7.0,,
23,3,4,0.3173996175908222,11.0,,
24,1,2,0.32991803278688525,4.0,,
24,2,3,0.2716049382716049,0.0,,
24,3,4,0.14989733059548255,2.0,,
25,1,3,0.19567262464722485,539.0,,
25,3,4,0.11764705882352941,14.0,,
26,1,2,0.10326086956521739,604.0,,
26,2,2,0.05080440304826418,527.0,,
26,2,3,0.6384266263237519,7.0,,
26,3,4,0.3904,43.0,,
27,1,2,0.3046757164404223,1.0,,
27,2,3,0.21627084386053563,11.0,,
27,3,4,0.12651821862348178,8.0,,
28,1,4,,,1.0,419.0
29,1,4,,,1.0,30.0
30,2,3,0.026992830029523407,10.0,,
30,3,4,0.07023830854685541,849.0,,
31,1,2,0.1685823754789272,31.0,,
31,2,3,0.10256410256410256,5.0,,
31,3,4,0.17150063051702397,31.0,,
32,2,3,0.06944444444444445,4.0,,
32,3,4,0.01841903300076746,291.0,,
